Rank,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
365,2016,106,6.3,89059,30,72
366,2008,120,8,677044,141.32,86
367,2012,115,5.5,194329,292.3,52
368,2016,117,6.9,286,,
369,2012,136,7,474320,262.03,66
370,2016,123,5.7,28326,26.38,38
371,2016,89,6,702,3.85,62
372,2014,113,6.8,335531,102.41,57
373,2016,113,6.3,38430,14.27,36
374,2008,110,6.7,312495,134.57,64
375,2016,111,6.9,31776,27.37,71
376,2016,99,5.7,7583,2.2,33
377,2015,123,6.9,135706,62.56,68
378,2015,133,7.6,175673,109.71,82
379,2016,97,7.1,61812,4.21,64
380,2014,126,6.1,137568,39.29,35
381,2014,86,7.6,84016,3.33,76
382,2015,124,7.4,169083,52.42,57
383,2016,81,6.6,45867,,67
384,2015,142,7.6,217938,72.31,81
385,2014,100,7.8,266508,257.76,83
386,2015,121,7.1,154647,43.25,64
387,2015,105,5.6,101092,78.75,27
388,2010,140,6.7,221117,105.22,53
389,2013,126,6.7,355362,132.55,60
390,2012,132,6.6,220667,73.06,51
391,2016,100,6.3,31913,20.57,63
392,2015,115,5.8,31194,10.64,39
393,2015,122,7.2,116112,17.75,82
394,2016,98,5,102,,43
395,2013,101,5.4,114482,133.67,19
396,2015,112,7.2,112288,42.48,51
397,2008,112,6.8,342355,134.52,61
398,2009,113,5.5,86417,109.18,23
399,2015,85,6,26587,,31
400,2012,110,6.1,113686,113.71,72
401,2015,91,6.4,159830,336.03,56
402,2016,91,3.9,240,,71
403,2008,92,7.1,93972,0.1,
404,2010,95,7.7,410607,251.5,72
405,2014,118,6.7,49041,26.76,29
406,2015,100,6.7,40529,0.23,74
407,2012,157,7.4,226661,95.72,95
408,2010,100,7.8,316459,200.81,71
409,2015,137,6.6,202380,281.67,65
410,2015,99,6.1,74589,58.88,34
411,2008,93,7.8,502961,145,50
412,2015,115,6.5,108306,183.44,63
413,2013,104,7.3,252119,268.49,65
414,2016,130,7.2,35417,,89
415,2016,98,5.6,48161,21.2,38
416,2014,102,5.4,34546,1.82,55
417,2016,108,6.9,164,,85
418,2007,123,7.8,202890,50.92,
419,2010,146,7.7,357213,294.98,65
420,2011,101,7.2,155010,4,72
421,2011,111,6.8,164208,40.25,65
422,2007,88,5.7,8914,0.04,35
423,2016,108,5.8,35003,10.91,45
424,2014,102,6.2,237887,106.37,48
425,2016,99,5.9,100702,62.4,28
426,2008,166,7.8,485075,127.49,70
427,2014,102,6.5,122185,13.75,46
428,2007,115,8.1,525700,227.14,85
429,2010,104,5.2,43648,,55
430,2016,109,6,54216,79,
431,2009,170,8.4,238789,6.52,67
432,2016,102,4.7,48297,28.84,34
433,2013,116,7,494819,202.35,63
434,2011,132,7.4,382459,209.36,73
435,2016,102,6.4,223,,56
436,2013,97,7.1,81301,0.03,
437,2015,123,7.1,58421,37.43,33
438,2012,114,7.6,156189,19,73
439,2013,103,6.6,214825,28.75,41
440,2016,88,5.6,220,,63
441,2013,130,6.3,181521,234.9,44
442,2015,117,7.5,94977,38.32,87
443,2009,100,7.7,156620,75.28,80
444,2010,112,7.4,151409,9.7,81
445,2016,81,6,4531,,31
446,2006,125,6.6,184152,46.98,
447,2012,95,7.1,213764,13.4,59
448,2016,101,7.9,52331,5.2,81
449,2014,102,7.8,309186,222.49,74
450,2013,100,5.9,113272,35.27,53
451,2010,124,7,556666,312.06,57
452,2015,101,7,58720,1.82,49
453,2009,108,6.8,126656,10.33,28
454,2013,119,6.5,214994,98.9,41
455,2011,109,6.1,202682,55.09,36
456,2012,115,8.3,192263,0.61,76
457,2009,108,6.7,241709,163.95,48
458,2015,100,6,95119,90.35,34
459,2011,117,6.4,182069,103.03,33
460,2008,119,7.3,159736,22.88,69
461,2010,125,7.6,294553,92.17,74
462,2016,97,6,51235,35.79,42
463,2016,109,6.6,8229,4.07,63
464,2014,97,7.5,187760,,69
465,2015,103,6.3,57602,80.02,60
466,2011,129,7.5,357436,186.83,48
467,2010,100,6.4,255813,118.31,65
468,2013,91,6.9,111558,1.01,61
469,2009,112,8,556794,115.65,81
470,2010,107,6.7,199900,119.22,64
471,2007,157,7.8,337835,130.13,76
472,2006,123,6.4,83941,15.96,65
473,2009,158,5.8,297984,166.11,49
474,2009,153,7.5,351059,301.96,78
475,2012,120,7.7,481274,136.02,86
476,2016,106,7.4,56332,15.79,54
477,2006,137,8.5,278103,11.28,89
478,2016,94,5.7,8404,,48
479,2016,96,8.3,61,,71
480,2015,113,6.7,41642,,71
481,2008,111,7.2,226619,62.88,67
482,2014,97,6.5,93799,45.09,47
483,2016,115,6.3,48400,12.63,52
484,2016,97,7.7,17584,,43
485,2016,97,6.3,55781,107.51,
486,2012,94,7.8,254446,45.51,84
487,2007,117,6.7,102954,118.82,81
488,2013,115,6.7,84765,71.35,34
489,2015,105,6.6,166489,53.85,56
490,2007,111,8,504039,206.44,96
491,2010,98,6.5,36091,0.02,66
492,2010,118,6.9,241359,94.82,53
493,2008,85,7,313803,80.03,64
494,2015,114,5.3,44553,28.77,34
495,2013,108,6.3,94707,2.61,78
496,2007,101,7.2,565721,256.39,65
497,2012,106,6.8,278379,179.02,58
498,2011,112,7.1,298913,126.98,72
499,2009,109,7.4,228339,73.34,34
500,2009,96,8.3,722203,292.98,88
501,2015,131,6.3,159364,81.69,43
502,2015,118,7.2,77995,0.25,95
503,2016,109,6.5,27428,,68
504,2015,124,7.3,52636,2.7,64
505,2009,141,7.9,166872,,63
506,2016,110,5.7,291,,54
507,2012,131,6.5,107960,47.31,59
508,2009,95,7.7,398972,32.39,76
509,2013,94,4.3,83625,8.83,18
510,2013,91,7.8,622089,274.08,96
511,2008,94,7.8,144614,9.03,55
512,2007,124,7.2,267820,46.98,53
513,2008,91,5,170897,64.51,34
514,2015,132,7.1,47289,66.01,72
515,2015,115,5.7,42506,,60
516,2010,92,7.1,294950,58.4,72
517,2014,150,6,137299,65.01,52
518,2015,120,6.9,188769,31.57,41
519,2013,161,7.9,513744,258.36,66
520,2013,111,6.2,1356,0.05,51
521,2016,120,7.2,24100,2.96,59
522,2013,117,5.3,84927,16.97,48
523,2016,133,4.7,1830,23.05,57
524,2016,112,6.6,36156,,
525,2010,106,7,36043,0.06,60
526,2016,103,3.9,552,93.05,61
527,2013,109,6.6,358932,,
528,2013,100,5.4,26461,7.19,38
529,2014,123,6.4,318058,200.66,62
530,2012,135,6.7,245374,113.17,61
531,2006,117,6.9,74674,7.46,47
532,2016,92,5.4,12758,64.03,59
533,2006,126,7,253858,,
534,2014,89,6.4,352698,126.55,61
535,2016,125,7.2,1024,1.08,77
536,2014,132,6.5,143389,43.57,39
537,2012,130,7,250811,58.68,50
538,2016,108,5.7,24761,0.54,22
539,2016,92,7.3,198,,43
540,2016,108,6.1,7115,,
541,2010,128,7.2,137964,15.52,77
542,2011,105,7.4,444417,79.24,59
543,2016,107,6.3,27042,,39
544,2007,126,7.1,177247,53.68,
545,2015,103,5.7,4912,,39
546,2016,112,6.7,54787,3.71,76
547,2016,92,6.8,10485,4.42,83
548,2010,108,6.5,324898,334.19,53
549,2016,98,6.8,391,0.11,68
550,2016,100,7.9,22941,,77
551,2006,106,5.8,106381,118.68,45
552,2016,123,7.1,17141,7.7,79
553,2015,100,4.3,121847,56.11,27
554,2015,104,6.3,9187,,80
555,2015,106,7.1,30074,,33
556,2015,91,4.6,30180,35.39,30
557,2015,108,7.1,96688,43.77,77
558,2014,92,6.3,148504,55.94,40
559,2015,122,6.9,90372,24.99,47
560,2006,84,6.6,115355,0.44,66
561,2010,103,6.5,283282,102.98,45
562,2013,91,6.5,133113,54.24,57
563,2012,110,6.8,171169,48.06,53
564,2012,101,7.8,290559,189.41,72
565,2012,127,6.1,239772,155.11,57
566,2015,111,5.8,47804,34.96,36
567,2011,154,6.3,338369,352.36,42
568,2007,96,7.5,432461,143.49,81
569,2016,98,6.1,26521,4.2,58
570,2016,98,6.5,68654,41.01,55
571,2014,109,6,110825,83.91,39
572,2007,107,7.1,150353,127.71,75
573,2015,121,7.1,159582,75.27,51
574,2006,101,7.8,374044,59.89,80
575,2016,117,6.8,11900,4.85,62
576,2010,106,5.8,238206,163.19,39
577,2016,117,6.8,44425,27.55,58
578,2010,125,6.8,273959,172.05,49
579,2013,146,7.6,525646,424.65,76
580,2010,101,6.3,44158,0.58,57
581,2016,90,4.9,6809,131.56,37
582,2010,103,4.2,125129,,20
583,2014,94,5.1,89885,38.54,36
584,2012,110,5.7,60059,41.1,41
585,2011,133,7.6,297395,75.61,87
586,2007,114,5.2,190673,115.8,35
587,2014,137,7.2,114006,115.6,59
588,2011,110,6,142900,83.5,46
589,2007,107,7.3,199860,3.68,64
590,2012,93,7.2,293941,237.28,69
591,2009,152,7.8,182074,10.1,76
592,2013,112,6.2,25208,0.32,37
593,2014,106,7.1,116118,10.72,69
594,2006,105,6.4,122864,2.34,45
595,2015,96,6.1,68306,150.32,42
596,2010,116,7.2,97141,12.13,79
597,2008,110,6.6,84083,24.85,39
598,2016,83,6.2,63408,6.86,44
599,2009,97,7.9,277123,5.01,67
600,2010,95,7.3,183926,148.34,63
601,2013,113,6.7,181432,46,40
602,2016,88,6.4,40357,93.95,66
603,2009,129,6.4,137684,,47
604,2016,95,7.2,89791,143.52,66
605,2015,110,5.1,1630,6.53,90
606,2016,95,7.4,338,,
607,2010,100,7.2,116435,,
608,2011,98,6.9,368556,117.53,57
609,2014,139,8.1,33560,3.49,74
610,2008,120,7,216932,75.75,78
611,2013,124,6.2,71822,19.45,52
612,2016,162,7.6,24387,1.48,93
613,2009,135,6.7,130702,43.98,42
614,2007,160,7.5,143564,3.9,68
615,2013,90,6.6,199973,24.48,66
616,2016,92,6.3,21089,0.04,48
617,2016,101,4,277,20.76,53
618,2016,139,6.9,29895,,
619,2015,95,6.3,30053,0.03,52
620,2013,114,7.3,249877,58.23,54
621,2015,103,7.3,66400,17.47,72
622,2012,88,6.4,127157,62.32,39
623,2009,108,6.6,94069,0.4,49
624,2009,97,5.6,78631,65,34
625,2014,109,6,144715,89.25,26
626,2012,118,6.3,210965,58.88,43
627,2006,104,6.7,406540,234.36,58
628,2016,88,6,7181,,46
629,2016,93,6.1,10700,,
630,2014,98,6.2,74886,113.73,47
631,2010,112,6.7,151519,32.36,55
632,2014,112,6.6,261536,6.11,52
633,2006,120,7,73491,2.2,85
634,2011,85,4.9,6683,,94
635,2008,98,8.4,776897,223.81,
636,2007,129,7,309398,148.73,85
637,2011,93,7.5,404884,54.7,74
638,2012,116,7.3,195360,37.4,58
639,2014,83,5.6,50402,31.54,59
640,2012,113,6.7,178471,56.72,49
641,2006,117,8,361105,162.59,64
642,2014,122,8.1,110100,3.08,77
643,2015,119,4.8,31149,,18
644,2016,113,7.5,4304,0.86,73
645,2016,85,5.5,3564,,72
646,2008,116,8.2,595779,148.09,
647,2015,101,6.6,76469,13.65,42
648,2016,133,3.2,173,,57
649,2011,101,5.3,27006,0.03,
650,2014,104,5.6,44111,7.79,30
651,2007,116,7.4,296289,52.88,83
652,2015,101,6.4,36300,,36
653,2010,103,6.8,219916,53.99,52
654,2016,87,6.7,30875,9.39,68
655,2016,83,6.4,482,,82
656,2009,140,7,240323,97.03,70
657,2014,165,7.9,286722,25.36,100
658,2014,101,5.9,178527,190.87,31
659,2007,100,7.7,198006,17.11,82
660,2015,96,6.7,2798,0.03,62
661,2008,111,7,267872,87.34,64
662,2012,95,6.9,54027,0.02,55
663,2007,114,7.7,206707,20.3,72
664,2013,117,6.6,140151,159.58,60
665,2016,102,7.1,5796,0.28,88
666,2012,129,6.6,75291,12.8,63
667,2015,106,5.7,26320,0.05,32
668,2015,115,6.3,136323,81.26,48
669,2013,129,6.5,168875,49.87,45
670,2006,143,8,422014,57.37,64
671,2013,114,6.1,15514,,42
672,2015,137,6.5,47703,1.21,41
673,2008,131,7.6,352023,15.7,94
674,2011,114,5.6,231907,116.59,39
675,2016,98,5.9,9285,,50
676,2007,126,7.2,233346,25.59,58
677,2013,115,6.7,188004,25.12,49
678,2014,102,7.2,80415,0.01,44
679,2015,101,6.5,57874,34.02,56
680,2016,140,7.2,2403,0.54,78
681,2014,123,6.7,331902,337.1,64
682,2011,112,7.5,104953,1.74,68
683,2016,90,6.5,16164,14.01,87
684,2013,130,5.9,112313,31.17,33
685,2008,123,7.7,245144,69.95,36
686,2010,118,8,534388,138.8,88
687,2008,96,7.6,54486,0.15,82
688,2008,88,6.1,252503,80.17,35
689,2010,103,8.3,586669,414.98,92
690,2011,122,7.1,157053,24.1,85
691,2012,96,5.4,114144,42.35,39
692,2016,151,7.8,23540,1.4,56
693,2016,104,6.5,10708,1.36,
694,2014,105,5.5,90188,23.22,39
695,2012,127,7.9,471109,124.98,79
696,2009,93,8.1,177602,,61
697,2011,100,6.1,19636,0.2,
698,2014,106,7.3,86271,0.33,57
699,2007,128,7.2,347567,134.52,69
700,2016,94,5.5,1427,,44
701,2007,111,6.5,73835,1.29,
702,2012,106,7,494641,218.63,62
703,2010,111,7.1,250012,90.36,60
704,2008,165,6.6,106115,49.55,53
705,2010,98,6.5,83788,23.23,44
706,2016,87,5.8,4754,,60
707,2011,106,7.1,208632,62.45,
708,2016,88,6.5,5908,1.02,53
709,2014,141,7.4,146812,47.11,48
710,2013,96,6.2,18437,5.73,50
711,2009,150,6,335757,402.08,35
712,2016,80,7.6,11482,0.92,86
713,2014,95,7.3,50388,50.15,67
714,2010,131,8.2,92863,6.86,80
715,2007,116,5.8,74664,36.77,46
716,2006,108,6.5,141141,197.99,77
717,2015,104,6.6,64557,32.36,38
718,2008,86,6.2,96718,52.53,47
719,2014,138,5.8,209700,101.16,68
720,2014,97,6.4,236500,150.06,68
721,2013,123,6.7,65824,0.33,60
722,2014,115,7.1,95553,37.88,76
